Game ID,Home Team,Away Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Scoring,Scoring,Scoring,Unnamed: 5_level_0,Unnamed: 6_level_0,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Player ID
,,,Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,
202410240DET,DET,NJD,6.0,Erik Haula,1,0,1,-1.0,0,0,1,0,0.0,0.0,0.0,0.0,1,100.0,19.0,11:49,haulaer01
202410240DET,DET,NJD,7.0,Nico Hischier,2,0,2,0.0,0,0,2,0,0.0,0.0,0.0,0.0,8,25.0,24.0,20:35,hischni01
202410240DET,DET,NJD,8.0,Jack Hughes,0,1,1,-2.0,0,0,0,0,0.0,0.0,1.0,0.0,8,0.0,24.0,22:59,hugheja03
202410240DET,DET,NJD,9.0,Luke Hughes,0,1,1,-1.0,0,0,0,0,0.0,0.0,1.0,0.0,0,,22.0,15:11,hughelu01
202410240DET,DET,NJD,10.0,Johnathan Kovacevic,0,0,0,-1.0,7,0,0,0,0.0,0.0,0.0,0.0,1,0.0,22.0,18:54,kovacjo01
202410240DET,DET,NJD,11.0,Curtis Lazar,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,15.0,9:57,lazarcu01
202410240DET,DET,NJD,12.0,Timo Meier,0,1,1,-1.0,2,0,0,0,0.0,0.0,1.0,0.0,2,0.0,19.0,17:06,meierti01
202410240DET,DET,NJD,13.0,Dawson Mercer,0,0,0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0,,23.0,17:36,merceda01
202410240DET,DET,NJD,14.0,Stefan Noesen,0,0,0,-3.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,18.0,15:22,noesest01
202410240DET,DET,NJD,15.0,OndÅej PalÃ¡t,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,19.0,13:47,palaton01
202410240DET,DET,NJD,16.0,Brett Pesce,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,24.0,17:33,pescebr01
202410240DET,DET,NJD,17.0,Jonas Siegenthaler,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,24.0,21:14,siegejo01
202410240DET,DET,NJD,18.0,TomÃ¡Å¡ Tatar,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,15.0,11:17,tatarto01
202410240DET,DET,NJD,19.0,Jacob MarkstrÃ¶m,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,5.0,58:22,marksja02
202410240DET,DET,NJD,,TOTAL,3,5,8,,20,0,3,0,,,,,40,7.5,,,
202410240DET,DET,NJD,1.0,Jonatan Berggren,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,12.0,12:26,berggjo02
202410240DET,DET,NJD,2.0,Ben Chiarot,0,0,0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,1,0.0,21.0,15:07,chiarbe01
202410240DET,DET,NJD,3.0,Andrew Copp,0,1,1,2.0,0,0,0,0,0.0,1.0,0.0,0.0,1,0.0,21.0,13:40,coppan01
