Player,PlayerID,Team,TeamID,Position
Tomas Hertl,hertlto01,Vegas Golden Knights,VEG,F
Dennis Hildeby,hildede01,Toronto Maple Leafs,TOR,G
Adin Hill,hillad01,Vegas Golden Knights,VEG,G
Roope Hintz,hintzro01,Dallas Stars,DAL,F
Akito Hirose,hirosak01,Vancouver Canucks,VAN,D
Nico Hischier,hischni01,New Jersey Devils,NJD,F
Joel Hofer,hoferjo01,St. Louis Blues,STL,G
Nils Hoglander,hoglani01,Vancouver Canucks,VAN,F
Justin Holl,hollju01,Detroit Red Wings,DET,D
Dylan Holloway,hollody01,St. Louis Blues,STL,F
Pontus Holmberg,holmbpo01,Toronto Maple Leafs,TOR,F
Simon Holmstrom,holmssi01,New York Islanders,NYI,F
Alexander Holtz,holtzal01,Vegas Golden Knights,VEG,F
Samuel Honzek,honzesa01,Calgary Flames,CGY,F
Bo Horvat,horvabo01,New York Islanders,NYI,F
Brett Howden,howdebr01,Vegas Golden Knights,VEG,F
Filip Hronek,hronefi01,Vancouver Canucks,VAN,D
Jonathan Huberdeau,huberjo01,Calgary Flames,CGY,F
Jack Hughes,hugheja03,New Jersey Devils,NJD,F
Luke Hughes,hughelu01,New Jersey Devils,NJD,D
Quinn Hughes,hughequ01,Vancouver Canucks,VAN,D
Daemon Hunt,huntda01,Minnesota Wild,MIN,D
Ville Husso,hussovi01,Detroit Red Wings,DET,G
Lane Hutson,hutsola01,Montreal Canadiens,MTL,D
Ben Hutton,huttobe01,Vegas Golden Knights,VEG,D
Grant Hutton,huttogr01,New York Islanders,NYI,D
Zach Hyman,hymanza01,Edmonton Oilers,EDM,F
Alex Iafallo,iafalal01,Winnipeg Jets,WPG,F
Connor Ingram,ingraco01,Arizona Coyotes,ARI,G
Vincent Iorio,ioriovi01,Washington Capitals,WSH,D
Ruslan Iskhakov,iskharu01,New York Islanders,NYI,F
Ivan Ivan,ivaniv01,Colorado Avalanche,COL,F
Mark Jankowski,jankoma01,Nashville Predators,NSH,F
Mattias Janmark,janmama02,Edmonton Oilers,EDM,F
Calle Jarnkrok,jarnkca01,Toronto Maple Leafs,TOR,F
Tristan Jarry,jarrytr01,Pittsburgh Penguins,PIT,G
Roby Jarventie,jarvero01,Ottawa Senators,OTT,F
Seth Jarvis,jarvise01,Carolina Hurricanes,CAR,F
Tanner Jeannot,jeannta01,Los Angeles Kings,LAK,F
Jan Jenik,jenikja01,Arizona Coyotes,ARI,F
Boone Jenner,jennebo01,Columbus Blue Jackets,CBJ,F
Nick Jensen,jenseni02,Ottawa Senators,OTT,D
David Jiricek,jiricda01,Columbus Blue Jackets,CBJ,D
Albert Johansson,johanal01,Detroit Red Wings,DET,D
Jonas Johansson,johanjo03,Tampa Bay Lightning,TBL,G
Lucas Johansen,johanlu01,Washington Capitals,WSH,D
Marcus Johansson,johanma03,Minnesota Wild,MIN,F
Erik Johnson,johnser01,Philadelphia Flyers,PHI,D
Jack Johnson,johnsja02,Columbus Blue Jackets,CBJ,D
Kent Johnson,johnske01,Columbus Blue Jackets,CBJ,F
Marc Johnstone,johnsma04,Pittsburgh Penguins,PIT,F
Reese Johnson,johnsre01,Chicago Blackhawks,CHI,F
Ross Johnston,johnsro02,Anaheim Ducks,ANA,F
Ryan Johnson,johnsry03,Buffalo Sabres,BUF,D
Tyler Johnson,johnsty01,Boston Bruins,BOS,F
Wyatt Johnston,johnswy01,Dallas Stars,DAL,F
Henri Jokiharju,jokihhe01,Buffalo Sabres,BUF,D
Caleb Jones,jonesca01,Los Angeles Kings,LAK,D
Max Jones,jonesma03,Boston Bruins,BOS,F
Seth Jones,jonesse01,Chicago Blackhawks,CHI,D
Zac Jones,jonesza01,New York Rangers,NYR,D
Axel Jonsson-Fjallby,jonssax01,Winnipeg Jets,WPG,F
Mathieu Joseph,josepma01,St. Louis Blues,STL,F
Pierre-Olivier Joseph,joseppi01,St. Louis Blues,STL,D
Dakota Joshua,joshuda01,Vancouver Canucks,VAN,F
Roman Josi,josiro01,Nashville Predators,NSH,D
Noah Juulsen,juulsno01,Vancouver Canucks,VAN,D
Nazem Kadri,kadrina01,Calgary Flames,CGY,F
Kaapo Kähkönen,kahkoka01,Colorado Avalanche,COL,G
Wyatt Kaiser,kaisewy01,Chicago Blackhawks,CHI,D
Kaapo Kakko,kakkoka01,New York Rangers,NYR,F
Arthur Kaliyev,kaliyar01,Los Angeles Kings,LAK,F
David Kampf,kampfda01,Toronto Maple Leafs,TOR,F
Evander Kane,kaneev01,Edmonton Oilers,EDM,F
Patrick Kane,kanepa01,Detroit Red Wings,DET,F
Kasperi Kapanen,kapanka01,St. Louis Blues,STL,F
Oliver Kapanen,kapanol01,Montreal Canadiens,MTL,F
Kirill Kaprizov,kapriki01,Minnesota Wild,MIN,F
Erik Karlsson,karlser01,Pittsburgh Penguins,PIT,D
Linus Karlsson,karlsli01,Vancouver Canucks,VAN,F
William Karlsson,karlswi01,Vegas Golden Knights,VEG,F
Tye Kartye,kartyty01,Seattle Kraken,SEA,F
Marco Kasper,kaspema01,Detroit Red Wings,DET,F
Mark Kastelic,kastema01,Boston Bruins,BOS,F
Milos Kelemen,kelemmi01,Arizona Coyotes,ARI,F
Clayton Keller,kellecl01,Arizona Coyotes,ARI,F
Parker Kelly,kellypa01,Colorado Avalanche,COL,F
Adrian Kempe,kempead01,Los Angeles Kings,LAK,F
Philip Kemp,kempph01,Edmonton Oilers,EDM,D
Alex Kerfoot,kerfoal01,Arizona Coyotes,ARI,F
Matthew Kessel,kessema01,St. Louis Blues,STL,D
Michael Kesselring,kessemi01,Arizona Coyotes,ARI,D
Marat Khusnutdinov,khusnma01,Minnesota Wild,MIN,F
Alex Killorn,killoal01,Anaheim Ducks,ANA,F
Justin Kirkland,kirklju01,Calgary Flames,CGY,F
Joel Kiviranta,kivirjo01,Colorado Avalanche,COL,F
Adam Klapka,klapkad01,Calgary Flames,CGY,F
Tyler Kleven,klevety01,Ottawa Senators,OTT,D
Matthew Knies,kniesma01,Toronto Maple Leafs,TOR,F
Spencer Knight,knighsp01,Florida Panthers,FLA,G
