Season,Player,PlayerID,TeamID,Position,GP,G,A,PTS,SOG,S%,HIT,BLK,TOI,SAtt,PIM,EVG,PPG,SHG,EVA,PPA,SHA,G_GP,A_GP,PTS_GP,SOG_GP,HIT_GP,BLK_GP,TOI_GP,SAtt_GP,PIM_GP
2024-25,Georgii Merkulov,merkuge01,BOS,F,3,0,1,1,3,0,1,0,41.21666667,41,0,0,0,0,1,0,0,0,0.333333333,0.333333333,1,0.333333333,0,13.73888889,13.66666667,0
2024-25,Corey Schueneman,schueco01,STL,D,4,0,0,0,4,0,1,7,56.2,59,0,0,0,0,0,0,0,0,0,0,1,0.25,1.75,14.05,14.75,0
2024-25,Jacob Moverare,moverja01,LAK,D,3,0,0,0,2,0,3,7,36.91666667,49,0,0,0,0,0,0,0,0,0,0,0.666666667,1,2.333333333,12.30555556,16.33333333,0
2024-25,Michael Milne,milnemi01,MIN,F,1,0,0,0,0,0,3,0,6.566666667,2,0,0,0,0,0,0,0,0,0,0,0,3,0,6.566666667,2,0
2024-25,Owen Pickering,pickeow01,PIT,D,4,0,1,1,2,0,0,1,57.45,47,0,0,0,0,1,0,0,0,0.25,0.25,0.5,0,0.25,14.3625,11.75,0
2024-25,Vasiliy Ponomarev,ponomva01,PIT,F,3,0,0,0,4,0,1,1,27.6,22,2,0,0,0,0,0,0,0,0,0,1.333333333,0.333333333,0.333333333,9.2,7.333333333,0.666666667
2024-25,Ben Meyers,meyerbe01,SEA,F,3,0,0,0,2,0,3,0,23.78333333,16,2,0,0,0,0,0,0,0,0,0,0.666666667,1,0,7.927777778,5.333333333,0.666666667
2024-25,Jeffrey Viel,vielje01,BOS,F,1,0,0,0,0,0,3,0,8.483333333,5,7,0,0,0,0,0,0,0,0,0,0,3,0,8.483333333,5,7
2024-25,Josh Brown,brownjo01,EDM,D,3,0,0,0,2,0,6,5,36.63333333,22,7,0,0,0,0,0,0,0,0,0,0.666666667,2,1.666666667,12.21111111,7.333333333,2.333333333
2024-25,Helge Grans,granshe01,PHI,D,3,0,1,1,4,0,2,3,44.36666667,44,2,0,0,0,1,0,0,0,0.333333333,0.333333333,1.333333333,0.666666667,1,14.78888889,14.66666667,0.666666667
2024-25,Sam Colangelo,colansa01,ANA,F,2,0,0,0,5,0,0,1,20.16666667,17,0,0,0,0,0,0,0,0,0,0,2.5,0,0.5,10.08333333,8.5,0
2024-25,Ben Jones,jonesbe01,MIN,F,2,0,0,0,1,0,2,2,14.43333333,3,0,0,0,0,0,0,0,0,0,0,0.5,1,1,7.216666667,1.5,0
2024-25,Callahan Burke,burkeca01,VEG,F,3,1,0,1,7,0.142857143,0,1,33.11666667,35,0,1,0,0,0,0,0,0.333333333,0,0.333333333,2.333333333,0,0.333333333,11.03888889,11.66666667,0
2024-25,Nikita Grebenkin,grebeni01,TOR,F,2,0,0,0,1,0,7,1,18.28333333,19,0,0,0,0,0,0,0,0,0,0,0.5,3.5,0.5,9.141666667,9.5,0
2024-25,Fraser Minten,mintefr01,TOR,F,2,1,1,2,3,0.333333333,3,0,30.45,30,0,1,0,0,0,1,0,0.5,0.5,1,1.5,1.5,0,15.225,15,0
2024-25,Robert Hagg,haggro01,VEG,D,1,0,0,0,0,0,5,2,8.983333333,6,0,0,0,0,0,0,0,0,0,0,0,5,2,8.983333333,6,0
